Year,Group,Cohort,Occupation Number,Weighted Total People in Occ,Avg Occ Income,Education,Wage
2010,2,1,58,8260.5,21249.2,11.5,10.0
2010,2,1,59,5867.0,20754.7,13.0,10.4
2010,2,1,60,25298.0,15679.0,11.1,8.1
2010,2,1,61,61104.5,21204.5,11.9,10.4
2010,2,1,62,43667.0,20701.3,12.0,10.0
2010,2,1,63,30764.0,26300.3,13.0,12.5
2010,2,1,64,41001.5,21485.5,12.5,10.6
2010,2,1,65,2711.5,33592.5,13.1,15.2
2010,2,1,66,70936.5,16587.8,11.7,8.6
2010,3,1,0,730207.0,,11.7,
2010,3,1,1,77750.5,48279.1,14.9,21.4
2010,3,1,2,57236.5,46397.3,15.0,21.3
2010,3,1,3,1039.5,45824.2,14.7,21.5
2010,3,1,4,14328.5,67032.1,16.0,30.0
2010,3,1,5,36529.5,47609.5,14.7,22.3
2010,3,1,6,3163.5,48476.7,17.1,22.7
2010,3,1,7,4338.5,82605.3,18.5,30.8
2010,3,1,8,8165.0,54397.1,15.4,26.4
2010,3,1,9,4009.0,40812.7,15.7,19.8
2010,3,1,10,5799.0,31670.3,17.5,15.5
2010,3,1,11,46111.5,32234.0,15.7,15.1
2010,3,1,12,480.0,31033.8,16.4,14.7
2010,3,1,13,3195.5,48667.6,16.3,22.4
2010,3,1,14,15067.0,32146.1,15.1,15.6
2010,3,1,15,3745.0,84353.6,18.8,33.5
2010,3,1,16,20748.5,38425.4,14.6,18.0
2010,3,1,17,14287.0,38209.9,13.5,18.0
2010,3,1,18,9008.0,42076.6,13.7,19.3
2010,3,1,19,1683.0,41714.8,13.9,20.4
2010,3,1,20,19177.5,57222.9,15.5,26.6
2010,3,1,21,130250.5,31632.1,13.4,14.8
2010,3,1,22,5406.5,31393.2,14.2,14.9
2010,3,1,23,8185.0,30288.9,13.3,14.2
2010,3,1,24,6270.0,28550.7,13.4,14.1
2010,3,1,25,9561.0,29383.1,13.5,14.0
